doctor_id,doctor_name,department,experience_years,clinic,consultation_fee
D001,Dr. Rao,Cardiology,18,Banjara Hills,900
D002,Dr. Reddy,Neurology,7,Madhapur,700
D003,Dr. Sharma,Dermatology,22,Secunderabad,1200
D004,Dr. Fatima,General Medicine,5,Jubilee Hills,650
D005,Dr. Naidu,Orthopaedics,12,Hitech City,800
D006,Dr. Iyer,Paediatrics,9,Banjara Hills,750
D007,Dr. Kulkarni,Cardiology,15,Madhapur,500
D008,Dr. Bose,Neurology,3,Secunderabad,450
D009,Dr. Menon,Dermatology,25,Jubilee Hills,1100
D010,Dr. Khan,General Medicine,11,Hitech City,850
D011,Dr. Verma,Orthopaedics,8,Banjara Hills,600
D012,Dr. Pillai,Paediatrics,14,Madhapur,700
D013,Dr. Joshi,Cardiology,20,Secunderabad,1000
D014,Dr. Nair,Neurology,6,Jubilee Hills,600
D015,Dr. Das,Dermatology,17,Hitech City,950
D016,Dr. Gupta,General Medicine,4,Banjara Hills,500
D017,Dr. Shetty,Orthopaedics,13,Madhapur,1150
D018,Dr. Mehta,Paediatrics,10,Secunderabad,780
